,terms,questions,termID
0,abandonment clause,what is abandonment clause,1
1,abandonment clause,what do you mean by abandonment clause,1
2,abandonment clause,explain abandonment clause,1
3,abandonment clause,define abandonment clause,1
4,abandonment clause,can you tell me about abandonment clause,1
5,abandonment clause,what is meant by abandonment clause,1
6,abandonment clause,can you give me an idea about abandonment clause,1
7,abandonment clause,can you please give short description about abandonment clause,1
8,abandonment clause,briefly explain abandonment clause,1
9,abandonment clause,what do you know about abandonment clause,1
10,abandonment clause,please explain abandonment clause,1
11,abandonment clause,can you say about abandonment clause,1
12,abandonment clause,what is meant by abandonment clause,1
13,abandonment clause,describe abandonment clause,1
14,abandonment clause,what do you know abandonment clause,1
15,abandonment clause,help me with abandonment clause,1
16,abandonment and salvage,what is abandonment and salvage,2
17,abandonment and salvage,what do you mean by abandonment and salvage,2
18,abandonment and salvage,explain abandonment and salvage,2
19,abandonment and salvage,define abandonment and salvage,2
20,abandonment and salvage,can you tell me about abandonment and salvage,2
21,abandonment and salvage,what is meant by abandonment and salvage,2
22,abandonment and salvage,can you give me an idea about abandonment and salvage,2
23,abandonment and salvage,can you please give short description about abandonment and salvage,2
24,abandonment and salvage,briefly explain abandonment and salvage,2
25,abandonment and salvage,what do you know about abandonment and salvage,2
26,abandonment and salvage,please explain abandonment and salvage,2
27,abandonment and salvage,can you say about abandonment and salvage,2
28,abandonment and salvage,what is meant by abandonment and salvage,2
29,abandonment and salvage,describe abandonment and salvage,2
30,abandonment and salvage,what do you know abandonment and salvage,2
31,abandonment and salvage,help me with abandonment and salvage,2
32,abbreviated new drug submission (ands),what is abbreviated new drug submission (ands),3
33,abbreviated new drug submission (ands),what do you mean by abbreviated new drug submission (ands),3
34,abbreviated new drug submission (ands),explain abbreviated new drug submission (ands),3
35,abbreviated new drug submission (ands),define abbreviated new drug submission (ands),3
36,abbreviated new drug submission (ands),can you tell me about abbreviated new drug submission (ands),3
37,abbreviated new drug submission (ands),what is meant by abbreviated new drug submission (ands),3
38,abbreviated new drug submission (ands),can you give me an idea about abbreviated new drug submission (ands),3
39,abbreviated new drug submission (ands),can you please give short description about abbreviated new drug submission (ands),3
40,abbreviated new drug submission (ands),briefly explain abbreviated new drug submission (ands),3
41,abbreviated new drug submission (ands),what do you know about abbreviated new drug submission (ands),3
42,abbreviated new drug submission (ands),please explain abbreviated new drug submission (ands),3
43,abbreviated new drug submission (ands),can you say about abbreviated new drug submission (ands),3
44,abbreviated new drug submission (ands),what is meant by abbreviated new drug submission (ands),3
45,abbreviated new drug submission (ands),describe abbreviated new drug submission (ands),3
46,abbreviated new drug submission (ands),what do you know abbreviated new drug submission (ands),3
47,abbreviated new drug submission (ands),help me with abbreviated new drug submission (ands),3
48,absolute exclusion,what is absolute exclusion,4
49,absolute exclusion,what do you mean by absolute exclusion,4
50,absolute exclusion,explain absolute exclusion,4
51,absolute exclusion,define absolute exclusion,4
52,absolute exclusion,can you tell me about absolute exclusion,4
53,absolute exclusion,what is meant by absolute exclusion,4
54,absolute exclusion,can you give me an idea about absolute exclusion,4
55,absolute exclusion,can you please give short description about absolute exclusion,4
56,absolute exclusion,briefly explain absolute exclusion,4
57,absolute exclusion,what do you know about absolute exclusion,4
58,absolute exclusion,please explain absolute exclusion,4
59,absolute exclusion,can you say about absolute exclusion,4
60,absolute exclusion,what is meant by absolute exclusion,4
61,absolute exclusion,describe absolute exclusion,4
62,absolute exclusion,what do you know absolute exclusion,4
63,absolute exclusion,help me with absolute exclusion,4
64,absolute pollution exclusion,what is absolute pollution exclusion,5
65,absolute pollution exclusion,what do you mean by absolute pollution exclusion,5
66,absolute pollution exclusion,explain absolute pollution exclusion,5
67,absolute pollution exclusion,define absolute pollution exclusion,5
68,absolute pollution exclusion,can you tell me about absolute pollution exclusion,5
69,absolute pollution exclusion,what is meant by absolute pollution exclusion,5
70,absolute pollution exclusion,can you give me an idea about absolute pollution exclusion,5
71,absolute pollution exclusion,can you please give short description about absolute pollution exclusion,5
72,absolute pollution exclusion,briefly explain absolute pollution exclusion,5
73,absolute pollution exclusion,what do you know about absolute pollution exclusion,5
74,absolute pollution exclusion,please explain absolute pollution exclusion,5
75,absolute pollution exclusion,can you say about absolute pollution exclusion,5
76,absolute pollution exclusion,what is meant by absolute pollution exclusion,5
77,absolute pollution exclusion,describe absolute pollution exclusion,5
78,absolute pollution exclusion,what do you know absolute pollution exclusion,5
79,absolute pollution exclusion,help me with absolute pollution exclusion,5
80,accelerated benefits,what is accelerated benefits,6
81,accelerated benefits,what do you mean by accelerated benefits,6
82,accelerated benefits,explain accelerated benefits,6
83,accelerated benefits,define accelerated benefits,6
84,accelerated benefits,can you tell me about accelerated benefits,6
85,accelerated benefits,what is meant by accelerated benefits,6
86,accelerated benefits,can you give me an idea about accelerated benefits,6
87,accelerated benefits,can you please give short description about accelerated benefits,6
88,accelerated benefits,briefly explain accelerated benefits,6
89,accelerated benefits,what do you know about accelerated benefits,6
90,accelerated benefits,please explain accelerated benefits,6
91,accelerated benefits,can you say about accelerated benefits,6
92,accelerated benefits,what is meant by accelerated benefits,6
93,accelerated benefits,describe accelerated benefits,6
94,accelerated benefits,what do you know accelerated benefits,6
95,accelerated benefits,help me with accelerated benefits,6
96,accelerated death benefit (adb),what is accelerated death benefit (adb),7
97,accelerated death benefit (adb),what do you mean by accelerated death benefit (adb),7
98,accelerated death benefit (adb),explain accelerated death benefit (adb),7
99,accelerated death benefit (adb),define accelerated death benefit (adb),7
100,accelerated death benefit (adb),can you tell me about accelerated death benefit (adb),7
101,accelerated death benefit (adb),what is meant by accelerated death benefit (adb),7
102,accelerated death benefit (adb),can you give me an idea about accelerated death benefit (adb),7
103,accelerated death benefit (adb),can you please give short description about accelerated death benefit (adb),7
104,accelerated death benefit (adb),briefly explain accelerated death benefit (adb),7
105,accelerated death benefit (adb),what do you know about accelerated death benefit (adb),7
106,accelerated death benefit (adb),please explain accelerated death benefit (adb),7
107,accelerated death benefit (adb),can you say about accelerated death benefit (adb),7
108,accelerated death benefit (adb),what is meant by accelerated death benefit (adb),7
109,accelerated death benefit (adb),describe accelerated death benefit (adb),7
110,accelerated death benefit (adb),what do you know accelerated death benefit (adb),7
