query,sql
average of Good Health and Well-being in East Asia & Pacific in 2010?,SELECT avg(good_health_and_well-being) FROM spi_index_labelled_vFinal WHERE region = 'East Asia & Pacific' AND date = 2010
Find the Climate Action of Burkina Faso before 2010.,SELECT climate_action FROM spi_index_labelled_vFinal WHERE date < 2010 AND country = 'Burkina Faso'
Countries having Data Service Score between 22 and 23,SELECT country FROM spi_index_labelled_vFinal WHERE data_service_score > 22 AND data_service_score < 23
Download Options Score of Guinea in 2007,SELECT download_options_score FROM spi_index_labelled_vFinal WHERE country = 'Guinea' AND date = 2007
Top 70 countries by iso3c,SELECT country FROM spi_index_labelled_vFinal ORDER BY 'iso3c' DESC LIMIT 70
minimum of Peace and Justice Strong Institutions in Middle East & North Africa?,SELECT min(peace_and_justice_strong_institutions) FROM spi_index_labelled_vFinal WHERE region = 'Middle East & North Africa'
National Accounts base year and Partnerships to achieve the Goal of Sri Lanka since 2019.,"SELECT national_accounts_base_year , partnerships_to_achieve_the_goal FROM spi_index_labelled_vFinal WHERE date > 2019 AND country = 'Sri Lanka'"
maximum Finance Indicator based on PARIS21 indicators on SDG 17.18.3 & SDG 17.19.1 by region,"SELECT max(finance_indicator_based_on_paris21_indicators_on_sdg_17.18.3_&_sdg_17.19.1), region FROM spi_index_labelled_vFinal GROUP BY region"
Terms of Use Score of Germany in 2014?,SELECT terms_of_use_score FROM spi_index_labelled_vFinal WHERE country = 'Germany' AND date = 2014
Zero Hunger of Serbia after 2005.,SELECT zero_hunger FROM spi_index_labelled_vFinal WHERE date > 2005 AND country ='Serbia'
Agriculture survey and Data use by international organizations of Mongolia since 2010,"SELECT agriculture_survey , data_use_by_international_organizations FROM spi_index_labelled_vFinal WHERE date > 2010 AND country = 'Mongolia'"
Find the Countries having Non_Proprietary format Score between 0.7 and 0.8?,SELECT country FROM spi_index_labelled_vFinal WHERE non_proprietary_format_score > 0.7 AND non_proprietary_format_score < 0.8
Tell me the Countries having Data Service Score between 82 and 99 in 2018,SELECT country FROM spi_index_labelled_vFinal WHERE data_service_score > 82 AND data_service_score < 99 AND date = 2018
Countries having Data Use Score between 30 and 66.,SELECT country FROM spi_index_labelled_vFinal WHERE data_use_score > 30 AND data_use_score < 66
Tell me the average of SDDS/e-GDDS subscription in 2011?,SELECT avg(sdds/e-gdds_subscription) FROM spi_index_labelled_vFinal WHERE date = 2011
Countries having Terms of Use Score between 0.0 and 0.2.,SELECT country FROM spi_index_labelled_vFinal WHERE terms_of_use_score > 0.0 AND terms_of_use_score < 0.2
List of maximum of Labor force participation rate by sex and age in 2004?,SELECT max(labor_force_participation_rate_by_sex_and_age) FROM spi_index_labelled_vFinal WHERE date = 2004
Agriculture survey of Malawi in 2007.,SELECT agriculture_survey FROM spi_index_labelled_vFinal WHERE country = 'Malawi' AND date = 2007
Show me Countries having Data Service Score between 19 and 62 in 2008,SELECT country FROM spi_index_labelled_vFinal WHERE data_service_score > 19 AND data_service_score < 62 AND date = 2008
Show me Data Service Score and Data Products Score of Oman since 2005.,"SELECT data_service_score , data_products_score FROM spi_index_labelled_vFinal WHERE date > 2005 AND country = 'Oman'"
Data Sources Score and Data Use Score of Marshall Islands since 2006?,"SELECT data_sources_score , data_use_score FROM spi_index_labelled_vFinal WHERE date > 2006 AND country = 'Marshall Islands'"
Find the minimum Surveys only by region?,"SELECT min(surveys_only), region FROM spi_index_labelled_vFinal GROUP BY region"
minimum of Peace and Justice Strong Institutions in Latin America & Caribbean.,SELECT min(peace_and_justice_strong_institutions) FROM spi_index_labelled_vFinal WHERE region = 'Latin America & Caribbean'
Countries having Data Service Score between 29 and 69 in 2011.,SELECT country FROM spi_index_labelled_vFinal WHERE data_service_score > 29 AND data_service_score < 69 AND date = 2011
No Poverty of Guyana after 2006,SELECT no_poverty FROM spi_index_labelled_vFinal WHERE date > 2006 AND country ='Guyana'
Countries having Data Infrastructure Score between 12 and 12?,SELECT country FROM spi_index_labelled_vFinal WHERE data_infrastructure_score > 12 AND data_infrastructure_score < 12
List maximum of Business/establishment survey?,SELECT max(business/establishment_survey) FROM spi_index_labelled_vFinal
Data services of Luxembourg after 2014,SELECT data_services FROM spi_index_labelled_vFinal WHERE date > 2014 AND country ='Luxembourg'
average of Responsible Consumption and Production in North America in 2016?,SELECT avg(responsible_consumption_and_production) FROM spi_index_labelled_vFinal WHERE region = 'North America' AND date = 2016
Countries having SPI Overall Score between 89 and 97 in 2009?,SELECT country FROM spi_index_labelled_vFinal WHERE spi_overall_score > 89 AND spi_overall_score < 97 AND date = 2009
